[2026-04-20 12:09:01.281] PRODUCAO | veiculoId=110 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=29
[2026-04-20 12:09:01.297] PRODUCAO | veiculoId=111 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=30
[2026-04-20 12:09:01.343] PRODUCAO | veiculoId=112 | cor=G | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=31
[2026-04-20 12:09:01.405] PRODUCAO | veiculoId=113 | cor=B | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=32
[2026-04-20 12:09:01.436] PRODUCAO | veiculoId=115 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=34
[2026-04-20 12:09:01.436] PRODUCAO | veiculoId=114 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=33
[2026-04-20 12:09:01.452] PRODUCAO | veiculoId=116 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=35
[2026-04-20 12:09:01.499] PRODUCAO | veiculoId=117 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=36
[2026-04-20 12:09:01.593] PRODUCAO | veiculoId=119 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=37
[2026-04-20 12:09:01.593] PRODUCAO | veiculoId=120 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=39
[2026-04-20 12:09:01.593] PRODUCAO | veiculoId=118 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=38
[2026-04-20 12:09:01.609] PRODUCAO | veiculoId=121 | cor=G | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=0
[2026-04-20 12:09:01.655] PRODUCAO | veiculoId=122 | cor=B | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=1
[2026-04-20 12:09:01.749] PRODUCAO | veiculoId=125 | cor=B | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=4
[2026-04-20 12:09:01.749] PRODUCAO | veiculoId=123 | cor=R | tipo=SEDAN | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=3
[2026-04-20 12:09:01.749] PRODUCAO | veiculoId=124 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=2
[2026-04-20 12:09:01.764] PRODUCAO | veiculoId=126 | cor=R | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=5
[2026-04-20 12:09:01.810] PRODUCAO | veiculoId=127 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=6
[2026-04-20 12:09:01.903] PRODUCAO | veiculoId=129 | cor=R | tipo=SEDAN | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=7
[2026-04-20 12:09:01.903] PRODUCAO | veiculoId=130 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=9
[2026-04-20 12:09:01.903] PRODUCAO | veiculoId=128 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=8
[2026-04-20 12:09:01.919] PRODUCAO | veiculoId=131 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=10
[2026-04-20 12:09:01.965] PRODUCAO | veiculoId=132 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=11
[2026-04-20 12:09:02.057] PRODUCAO | veiculoId=135 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=14
[2026-04-20 12:09:02.057] PRODUCAO | veiculoId=134 | cor=B | tipo=SUV | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=12
[2026-04-20 12:09:02.057] PRODUCAO | veiculoId=133 | cor=G | tipo=SEDAN | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=13
[2026-04-20 12:09:02.072] PRODUCAO | veiculoId=136 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=15
[2026-04-20 12:09:02.119] PRODUCAO | veiculoId=137 | cor=B | tipo=SEDAN | estacaoId=0 | funcionarioId=0 | posEsteiraFabrica=16
[2026-04-20 12:09:02.212] PRODUCAO | veiculoId=140 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=2 | posEsteiraFabrica=19
[2026-04-20 12:09:02.212] PRODUCAO | veiculoId=138 | cor=R | tipo=SUV | estacaoId=3 | funcionarioId=0 | posEsteiraFabrica=18
[2026-04-20 12:09:02.212] PRODUCAO | veiculoId=139 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=2 | posEsteiraFabrica=17
[2026-04-20 12:09:02.228] PRODUCAO | veiculoId=141 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=2 | posEsteiraFabrica=20
[2026-04-20 12:09:02.275] PRODUCAO | veiculoId=142 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=4 | posEsteiraFabrica=21
[2026-04-20 12:09:02.368] PRODUCAO | veiculoId=143 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=4 | posEsteiraFabrica=22
[2026-04-20 12:09:02.368] PRODUCAO | veiculoId=144 | cor=R | tipo=SUV | estacaoId=0 | funcionarioId=1 | posEsteiraFabrica=24
[2026-04-20 12:09:02.368] PRODUCAO | veiculoId=145 | cor=G | tipo=SEDAN | estacaoId=1 | funcionarioId=0 | posEsteiraFabrica=23
[2026-04-20 12:09:02.385] PRODUCAO | veiculoId=146 | cor=B | tipo=SUV | estacaoId=0 | funcionarioId=3 | posEsteiraFabrica=25
[2026-04-20 12:09:02.431] PRODUCAO | veiculoId=147 | cor=R | tipo=SEDAN | estacaoId=1 | funcionarioId=3 | posEsteiraFabrica=26
[2026-04-20 12:09:02.523] PRODUCAO | veiculoId=148 | cor=G | tipo=SUV | estacaoId=2 | funcionarioId=0 | posEsteiraFabrica=28
[2026-04-20 12:09:02.523] PRODUCAO | veiculoId=149 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=2 | posEsteiraFabrica=27
[2026-04-20 12:09:02.523] PRODUCAO | veiculoId=150 | cor=R | tipo=SUV | estacaoId=1 | funcionarioId=1 | posEsteiraFabrica=29
[2026-04-20 12:09:02.538] PRODUCAO | veiculoId=151 | cor=G | tipo=SEDAN | estacaoId=0 | funcionarioId=4 | posEsteiraFabrica=30
[2026-04-20 12:09:02.583] PRODUCAO | veiculoId=152 | cor=B | tipo=SUV | estacaoId=1 | funcionarioId=4 | posEsteiraFabrica=31
[2026-04-20 12:09:02.676] PRODUCAO | veiculoId=155 | cor=B | tipo=SEDAN | estacaoId=3 | funcionarioId=3 | posEsteiraFabrica=33
[2026-04-20 12:09:02.676] PRODUCAO | veiculoId=154 | cor=G | tipo=SUV | estacaoId=3 | funcionarioId=1 | posEsteiraFabrica=34
[2026-04-20 12:09:02.676] PRODUCAO | veiculoId=153 | cor=R | tipo=SEDAN | estacaoId=2 | funcionarioId=3 | posEsteiraFabrica=32
[2026-04-20 12:09:02.691] PRODUCAO | veiculoId=156 | cor=R | tipo=SUV | estacaoId=2 | funcionarioId=1 | posEsteiraFabrica=35
